名称,来源数量,信任等级,主分类
同心楼→鲁迅故里→咸亨酒店→高老太奶油小攀→寻宝记→绘璟轩,1,1,美食店铺
茴香豆,1,1,美食店铺
绍兴黄酒,1,1,美食店铺
梅干菜扣肉,1,1,美食店铺
醉蟹,1,1,美食店铺
宋嫂鱼羹,1,1,美食店铺
清汤越鸡,1,1,美食店铺
干菜焖肉,1,1,美食店铺
鉴湖鱼头,1,1,美食店铺
花雕鸡,1,1,美食店铺
绍兴三臭,1,1,美食店铺
鉴湖河鲜,1,1,美食店铺
花雕醉蟹,1,1,美食店铺
花雕醉鸡,1,1,美食店铺
酱鸭,1,1,美食店铺
酒酿圆子,1,1,美食店铺
酱鸭舌,1,1,美食店铺
梅干菜河鳗,1,1,美食店铺
兰亭醉鸡,1,1,美食店铺
书法豆腐,1,1,美食店铺
曲水流觞宴,1,1,美食店铺
生煎包,1,1,美食店铺
片儿川,1,1,美食店铺
小馄饨,1,1,美食店铺
小笼包,1,1,美食店铺
虾肉馄饨,1,1,美食店铺
蟹粉小笼,1,1,美食店铺
次坞打面,1,1,美食店铺
三鲜面,1,1,美食店铺
嵊州小笼包,1,1,美食店铺
豆腐包,1,1,美食店铺
炒年糕,1,1,美食店铺
三鲜打面,1,1,美食店铺
大排打面,1,1,美食店铺
新昌炒年糕,1,1,美食店铺
糟肉年糕,1,1,美食店铺
青菜年糕,1,1,美食店铺
臭豆腐,1,1,美食店铺
萝卜丝饼,1,1,美食店铺
虾饼,1,1,美食店铺
油墩子,1,1,美食店铺
炸年糕,1,1,美食店铺
奶油小攀,1,1,美食店铺
黄酒奶茶,1,1,美食店铺
黄酒拿铁,1,1,美食店铺
黄酒冰淇淋,1,1,美食店铺
黄酒棒冰,1,1,美食店铺
古越龙山黄酒,1,1,美食店铺
定制花雕,1,1,美食店铺
黄酒巧克力,1,1,美食店铺
母子酱油,1,1,美食店铺
太油,1,1,美食店铺
扯白糖,1,1,美食店铺
姜糖,1,1,美食店铺
花生糖,1,1,美食店铺
安昌腊肠,1,1,美食店铺
黄酒,1,1,美食店铺
龙井茶,1,1,美食店铺
桂花糕,1,1,美食店铺
藕粉,1,1,美食店铺
土鸡煲,1,1,美食店铺
时蔬,1,1,美食店铺
兰亭笋干,1,1,美食店铺
时令蔬菜,1,1,美食店铺
笋干烧肉,1,1,美食店铺
覆卮山土鸡,1,1,美食店铺
梯田时蔬,1,1,美食店铺
野生河鱼,1,1,美食店铺
梅干菜饼,1,1,美食店铺
蒸腊肠,1,1,美食店铺
腊肠饭,1,1,美食店铺
花雕酒,1,1,美食店铺
蒸双臭,1,1,美食店铺
霉苋菜梗,1,1,美食店铺
蒸霉千张,1,1,美食店铺
炸臭豆腐,1,1,美食店铺
糟鸡,1,1,美食店铺
糟鸡爪,1,1,美食店铺
绍兴香糕,1,1,美食店铺
炒榨面,1,1,美食店铺
汤榨面,1,1,美食店铺
霉千张,1,1,美食店铺
雪菜炒笋,1,1,美食店铺
酱爆螺蛳,1,1,美食店铺
香糕,1,1,美食店铺
定胜糕,1,1,美食店铺
黄酒炖蛋,1,1,美食店铺
酒香肉,1,1,美食店铺
各类小吃,1,1,美食店铺
连锁餐饮,1,1,美食店铺
绍东家,1,1,美食店铺
日料,1,1,美食店铺
韩式烤肉,1,1,美食店铺
大排面,1,1,美食店铺
咸豆浆,1,1,美食店铺
油条,1,1,美食店铺
粢饭团,1,1,美食店铺
西施豆腐,1,1,美食店铺
诸暨蒸三鲜,1,1,美食店铺
新昌春饼,1,1,美食店铺
米海茶,1,1,美食店铺
上虞土鸡煲,1,1,美食店铺
榨面,1,1,美食店铺
笋干菜烧肉,1,1,美食店铺
醉枣,1,1,美食店铺
黄酒博物馆/安昌古镇,1,1,美食店铺
安昌古镇/黄酒博物馆/书圣故里,1,1,美食店铺
D1:鲁迅故里→黄酒博物馆  D2:柯岩→鲁镇→安昌,1,1,美食店铺
D1:鲁迅故里+沈园+仓桥直街  D2:柯岩+鉴湖+鲁镇  D3:兰亭+东湖+书圣故里  D4:新昌大佛寺+穿岩十九峰  D5:安昌古镇+黄酒博物馆,1,1,美食店铺
,1,2,美食店铺
,1,2,美食店铺
,1,2,美食店铺
,1,2,美食店铺
,1,2,美食店铺
,1,2,美食店铺
,1,2,美食店铺
,1,2,美食店铺
,1,2,美食店铺
,1,2,美食店铺
,1,2,美食店铺
,1,2,美食店铺
,1,2,美食店铺
,1,2,美食店铺
,1,2,美食店铺
,1,2,美食店铺
,1,2,美食店铺
,1,2,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
,1,1,美食店铺
